Klasa,Wavelength_um,A_Mean,A_Sigma,A_Mean_minus_sigma,A_Mean_plus_sigma,B_Mean,B_Sigma,B_Mean_minus_sigma,B_Mean_plus_sigma,C_Mean,C_Sigma,C_Mean_minus_sigma,C_Mean_plus_sigma,D_Mean,D_Sigma,D_Mean_minus_sigma,D_Mean_plus_sigma,K_Mean,K_Sigma,K_Mean_minus_sigma,K_Mean_plus_sigma,L_Mean,L_Sigma,L_Mean_minus_sigma,L_Mean_plus_sigma,O_Mean,O_Sigma,O_Mean_minus_sigma,O_Mean_plus_sigma,S_Mean,S_Sigma,S_Mean_minus_sigma,S_Mean_plus_sigma,V_Mean,V_Sigma,V_Mean_minus_sigma,V_Mean_plus_sigma,X_Mean,X_Sigma,X_Mean_minus_sigma,X_Mean_plus_sigma
A,0.45,0.6354735958904111,0.026683568493150685,0.6087900273972604,0.6621571643835618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.5,0.7408280479452055,0.023251034246575344,0.7175770136986301,0.7640790821917809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.55,0.8461825000000001,0.019818499999999996,0.8263640000000001,0.866001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.6,0.9515369520547945,0.01638596575342466,0.9351509863013698,0.9679229178082192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.65,1.0271789714285715,0.016461907142857144,1.0107170642857144,1.0436408785714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.7,1.0775104,0.019526549999999997,1.05798385,1.09703695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.75,1.1278418285714285,0.022591192857142856,1.1052506357142855,1.1504330214285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.8,1.1087597066666666,0.02685810666666667,1.0819016,1.1356178133333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.85,1.06528904,0.031547439999999996,1.0337416,1.09683648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.9,1.0218183733333333,0.03623677333333333,0.9855816,1.0580551466666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.95,0.9783477066666667,0.04092610666666666,0.9374216000000001,1.0192738133333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.0,0.93487704,0.04561544,0.8892616000000001,0.98049248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.05,0.8914063733333333,0.050304773333333344,0.8411015999999999,0.9417111466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.1,0.8479357066666666,0.05499410666666668,0.7929415999999999,0.9029298133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.15,0.8044650400000002,0.05968344,0.7447816000000002,0.8641484800000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.2,0.7609943733333334,0.06437277333333333,0.6966216000000001,0.8253671466666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,0.45,,,,,0.9747277808219178,0.01153532191780822,0.9631924589041095,0.9862631027397261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,0.5,,,,,0.9820318904109588,0.01401991095890411,0.9680119794520547,0.9960518013698629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,0.55,,,,,0.989336,0.016504500000000002,0.9728315,1.0058405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,0.6,,,,,0.9966401095890411,0.01898908904109589,0.9776510205479453,1.0156291986301371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,0.65,,,,,0.9961864428571429,0.024814378571428576,0.9713720642857143,1.0210008214285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
