Index,OrigKlasa,Yg,Yr,Yi,Yz,Yg_raw_before_second_norm,Yr_raw_before_second_norm,Yi_raw_before_second_norm,Yz_raw_before_second_norm,second_norm_scale,mg,mr,mi,mz,mg_true,mr_true,mi_true,mz_true,err_mg,err_mr,err_mi,err_mz,true_g_minus_r,true_r_minus_i,true_i_minus_z,mg_used_for_Y,mr_used_for_Y,mi_used_for_Y,mz_used_for_Y,Ver09_Y_source,delta_mg_used_minus_mg,delta_mr_used_minus_mr,delta_mi_used_minus_mi,delta_mz_used_minus_mz,Yg_generator_original,Yr_generator_original,Yi_generator_original,Yz_generator_original,Ver09_Y_iz_true_plus_err_ili_magnituda,Greska,Fajl,Yg_mean,Yg_sigma,Yg_min,Yg_max,Yg_u_opsegu,Yg_razlika_od_mean,Yg_razlika_u_sigma,Yr_mean,Yr_sigma,Yr_min,Yr_max,Yr_u_opsegu,Yr_razlika_od_mean,Yr_razlika_u_sigma,Yi_mean,Yi_sigma,Yi_min,Yi_max,Yi_u_opsegu,Yi_razlika_od_mean,Yi_razlika_u_sigma,Yz_mean,Yz_sigma,Yz_min,Yz_max,Yz_u_opsegu,Yz_razlika_od_mean,Yz_razlika_u_sigma,Sva_cetiri_Y_u_opsegu,NominalnaGreskaIzImenaFajla,DetektovanaGreskaIzErrKolona,GreskaZaNaslovGrafikaNominalna,ImaErrKolone,ErrKolone,GreskaDetektovanaSigmaMean,GreskaDetektovanaMaxAbs,SveErrKoloneNula
1,S,0.9210525303457208,1.0,1.1220680594234338,1.101376992670075,0.825223,1.002876,1.115645,1.083707,0.997132,11.926025,11.226736,10.751688,10.611897,11.883639,11.061949,10.596252,10.467787,0.042386,0.164787,0.155436,0.144109,0.82169,0.465697,0.128465,11.926025000000001,11.226736,10.751688,10.611896,true_plus_err_columns,1.7763568394002505e-15,0.0,0.0,-1.0000000010279564e-06,0.822856,1.0,1.112445,1.080599,True,0.11637483268064394,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,0.11816953034572075,4.190111706464816,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.018538059423433895,0.4186553618661675,0.996137,0.054389,0.941748,1.050526,False,0.10523999267007489,1.9349499470494933,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
2,C,1.028090154143481,1.0,1.0198577488514624,1.1518003336526412,0.930768,0.997505,1.007611,1.002369,1.002501,13.884533,13.304611,12.933262,12.641168,13.848742,13.163559,12.802613,12.648277,0.035791,0.141052,0.130649,-0.007109,0.685183,0.360945,0.154336,13.884533,13.304611,12.933262,12.641168,true_plus_err_columns,0.0,0.0,0.0,0.0,0.933097,1.0,1.010132,1.004877,True,0.11637483268064394,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,False,0.064180154143481,3.661369966540076,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,0.014424748851462388,0.7673555086425359,0.996708,0.02437,0.972338,1.021078,False,0.1550923336526412,6.364067856078834,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
3,C,1.2179459062344606,1.0,0.9283727834099027,1.131342233941017,0.971934,1.015809,0.992692,0.991916,0.984437,10.960219,10.564289,10.294984,9.920304,11.116063,10.458125,10.133118,9.973968,-0.155844,0.106164,0.161865,-0.053664,0.657938,0.325006,0.159151,10.960219,10.564289,10.294983,9.920304,true_plus_err_columns,0.0,0.0,-9.999999992515995e-07,0.0,0.956808,1.0,0.977243,0.976479,True,0.11637483268064394,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,False,0.2540359062344606,14.492321651803332,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,False,-0.07706021659009732,-4.0993837956217325,0.996708,0.02437,0.972338,1.021078,False,0.13463423394101703,5.524589000452074,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
4,B,1.1458812153182865,1.0,0.9232693108428301,0.8375254251708844,0.9662,1.010706,0.915673,0.916679,0.989408,13.05252,12.590369,12.327048,12.272873,13.149257,12.490363,12.247574,12.086382,-0.096737,0.100006,0.079474,0.186492,0.658894,0.242789,0.161192,13.052520000000001,12.590369,12.327048,12.272874,true_plus_err_columns,1.7763568394002505e-15,0.0,0.0,9.999999992515995e-07,0.955966,1.0,0.905974,0.906969,True,0.11637483268064394,mySynt0.2.csv,0.978672,0.012877,0.965795,0.991549,False,0.16720921531828647,12.985106415957636,1.0,0.020132,0.979868,1.020132,True,0.0,0.0,0.980226,0.044411,0.9358150000000001,1.024637,False,-0.05695668915716989,-1.2824905801979216,0.938247,0.069068,0.869179,1.007315,False,-0.1007215748291157,-1.4582958074523034,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
5,X,0.9151283295999548,1.0,1.375736310553845,1.348627465301989,0.938958,1.002577,1.07702,1.125014,0.997429,11.360061,10.653766,9.957429,9.819036,11.238795,10.557616,10.129851,9.922516,0.121266,0.09615,-0.172423,-0.10348,0.681179,0.427765,0.207336,11.360061,10.653766,9.957428,9.819036,true_plus_err_columns,0.0,0.0,-9.999999992515995e-07,0.0,0.936544,1.0,1.074251,1.122122,True,0.11637483268064394,mySynt0.2.csv,0.943734,0.020913,0.922821,0.9646469999999999,False,-0.028605670400045136,-1.3678415531031003,1.0,0.006827,0.993173,1.006827,True,0.0,0.0,1.050969,0.016362,1.034607,1.067331,False,0.3247673105538449,19.848876088121553,1.09056,0.031115,1.059445,1.121675,False,0.258067465301989,8.293988921805848,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
6,S,1.0737915944006367,1.0,1.407840971347266,1.128244434830579,0.771848,0.939961,1.076657,0.946327,1.063874,13.588125,13.055426,12.334042,12.414418,13.699958,12.876012,12.378594,12.358684,-0.111832,0.179414,-0.044552,0.055734,0.823945,0.497418,0.01991,13.588126,13.055425999999999,12.334042,12.414418,true_plus_err_columns,1.0000000010279564e-06,-1.7763568394002505e-15,0.0,0.0,0.821149,1.0,1.145427,1.006772,True,0.11637483268064394,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,0.27090859440063664,9.606006467648983,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,0.30431097134726603,6.872424827174029,0.996137,0.054389,0.941748,1.050526,False,0.13210743483057885,2.4289366384853346,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
7,S,0.6564886167527221,1.0,1.1111390224754127,0.9231443160229351,0.761634,0.969106,1.042389,0.956463,1.031879,13.670509,12.603577,12.139156,12.180403,13.561177,12.689614,12.260468,12.193872,0.109332,-0.086037,-0.121312,-0.013469,0.871563,0.429146,0.066596,13.670509000000001,12.603577000000001,12.139156,12.180403,true_plus_err_columns,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.785914,1.0,1.075619,0.986954,True,0.11637483268064394,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.14639438324727794,-5.190922035574708,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.007609022475412841,0.17183880929116624,0.996137,0.054389,0.941748,1.050526,False,-0.07299268397706493,-1.3420486491214203,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
8,C,0.8825603248225653,1.0,0.9189400929164755,0.9726504677925941,0.96749,1.007342,1.01201,1.012547,0.992711,13.04511,12.299471,12.041252,11.819579,13.132319,12.478492,12.123473,11.962897,-0.087209,-0.179021,-0.08222,-0.143318,0.653827,0.355019,0.160576,13.045110000000001,12.299470999999999,12.041253000000001,11.819579,true_plus_err_columns,1.7763568394002505e-15,-1.7763568394002505e-15,1.0000000010279564e-06,0.0,0.960438,1.0,1.004634,1.005167,True,0.11637483268064394,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,False,-0.08134967517743474,-4.64086229547805,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,False,-0.08649290708352453,-4.601176033808093,0.996708,0.02437,0.972338,1.021078,True,-0.02405753220740592,-0.9871781783917079,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
9,S,0.647761601497256,1.0,0.98641848016181,1.0977463455708174,0.784971,1.016545,1.112314,1.037623,0.983725,14.399916,13.318454,12.983301,12.707199,14.222868,13.332185,12.884433,12.799902,0.177048,-0.013731,0.098868,-0.092703,0.890683,0.447752,0.084531,14.399916,13.318454000000001,12.983300999999999,12.707199,true_plus_err_columns,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.772195,1.0,1.09421,1.020735,True,0.11637483268064394,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.15512139850274398,-5.5003687150820495,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,-0.1171115198381899,-2.6447949376284985,0.996137,0.054389,0.941748,1.050526,False,0.10160934557081736,1.8681966127492204,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
10,L,0.782332910225111,1.0,1.025117387843091,0.9276240503700228,0.783242,1.021489,1.185186,1.127051,0.978963,13.67063,12.794109,12.417175,12.365679,13.734162,12.835817,12.324435,12.219042,-0.063532,-0.041708,0.09274,0.146637,0.898345,0.511382,0.105393,13.67063,12.794109,12.417174999999999,12.365679,true_plus_err_columns,0.0,0.0,-1.7763568394002505e-15,0.0,0.766765,1.0,1.160254,1.103342,True,0.11637483268064394,mySynt0.2.csv,0.804077,0.037198,0.7668790000000001,0.841275,True,-0.021744089774889064,-0.5845499697534562,1.0,0.027963,0.972037,1.027963,True,0.0,0.0,1.107657,0.054527,1.05313,1.1621839999999999,False,-0.08253961215690886,-1.513738371025526,1.106185,0.041263,1.064922,1.147448,False,-0.17856094962997715,-4.327386511644261,False,0.2,0.11637483268064394,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11637483268064394,0.199999,False
