Greska,Fajl,Klasa,BrojAsteroida,SvaCetiriUOpsegu,ProcSvaCetiriUOpsegu,Yg_u_opsegu_broj,Yg_u_opsegu_proc,Yg_mean_observed,Yg_std_observed,Yr_u_opsegu_broj,Yr_u_opsegu_proc,Yr_mean_observed,Yr_std_observed,Yi_u_opsegu_broj,Yi_u_opsegu_proc,Yi_mean_observed,Yi_std_observed,Yz_u_opsegu_broj,Yz_u_opsegu_proc,Yz_mean_observed,Yz_std_observed,NominalnaGreskaIzImenaFajla,DetektovanaGreskaIzErrKolona,GreskaZaNaslovGrafikaNominalna,ImaErrKolone,ErrKolone,GreskaDetektovanaSigmaMean,GreskaDetektovanaMaxAbs,SveErrKoloneNula
0.0,mySynt0.05.csv,A,16,4,25.0,8,50.0,0.6681164925289581,0.024444055178512607,16,100.0,1.0,0.0,12,75.0,1.1393425743069856,0.02154061775559577,13,81.25,1.0150719799270087,0.036771198002303815,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,B,72,14,19.444444444444446,32,44.44444444444444,0.981602593417721,0.022665996447347257,72,100.0,1.0,0.0,38,52.77777777777778,0.9889484125586883,0.05590635762538032,49,68.05555555555556,0.9424435135843345,0.06431634688274276,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,C,2026,469,23.149062191510364,1192,58.83514313919053,0.9638255151223689,0.021015310757262134,2026,100.0,1.0,0.0,1227,60.56268509378084,1.0046975785178465,0.02215939238603456,1274,62.88252714708786,0.9962275487886431,0.026842500084489303,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,D,125,29,23.200000000000003,78,62.4,0.8706771921362991,0.038159435227837685,125,100.0,1.0,0.0,83,66.4,1.107623566855553,0.06058736010988096,72,57.599999999999994,1.1965796372012898,0.11312362597691769,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,K,113,29,25.663716814159294,66,58.4070796460177,0.8486814578331795,0.02781477321105668,113,100.0,1.0,0.0,65,57.52212389380531,1.0713298760360939,0.04566914143999819,75,66.3716814159292,1.0191700685668645,0.04536733564983817,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,L,128,26,20.3125,78,60.9375,0.8094631139386882,0.04592967655654701,128,100.0,1.0,0.0,76,59.375,1.1027105479479178,0.06787754618736457,78,60.9375,1.112025107110938,0.047110933440256554,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,O,0,0,0.0,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,S,1009,249,24.677898909811695,586,58.07730426164519,0.8025453705732934,0.03480956675043306,1009,100.0,1.0,0.0,651,64.51932606541129,1.104163876826012,0.05061510747991207,639,63.33002973240832,0.9979494985581104,0.058642104764196054,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,V,65,23,35.38461538461539,47,72.3076923076923,0.7795787137273448,0.034237283376644195,65,100.0,1.0,0.0,40,61.53846153846154,1.1089208532217405,0.07154763236726841,47,72.3076923076923,0.698588786035328,0.08591222415222907,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
0.0,mySynt0.05.csv,X,446,126,28.251121076233183,293,65.69506726457399,0.9421168426888843,0.021273681099933536,446,100.0,1.0,0.0,293,65.69506726457399,1.0503467316568862,0.017580379734041748,302,67.71300448430493,1.0879899700048004,0.03197669100918478,0.05,0.0,0.05,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
