Index,OrigKlasa,Yg,Yr,Yi,Yz,Yg_raw_before_second_norm,Yr_raw_before_second_norm,Yi_raw_before_second_norm,Yz_raw_before_second_norm,second_norm_scale,mg,mr,mi,mz,mg_true,mr_true,mi_true,mz_true,err_mg,err_mr,err_mi,err_mz,true_g_minus_r,true_r_minus_i,true_i_minus_z,mg_used_for_Y,mr_used_for_Y,mi_used_for_Y,mz_used_for_Y,Ver09_Y_source,delta_mg_used_minus_mg,delta_mr_used_minus_mr,delta_mi_used_minus_mi,delta_mz_used_minus_mz,Yg_generator_original,Yr_generator_original,Yi_generator_original,Yz_generator_original,Ver09_Y_iz_true_plus_err_ili_magnituda,Greska,Fajl,Yg_mean,Yg_sigma,Yg_min,Yg_max,Yg_u_opsegu,Yg_razlika_od_mean,Yg_razlika_u_sigma,Yr_mean,Yr_sigma,Yr_min,Yr_max,Yr_u_opsegu,Yr_razlika_od_mean,Yr_razlika_u_sigma,Yi_mean,Yi_sigma,Yi_min,Yi_max,Yi_u_opsegu,Yi_razlika_od_mean,Yi_razlika_u_sigma,Yz_mean,Yz_sigma,Yz_min,Yz_max,Yz_u_opsegu,Yz_razlika_od_mean,Yz_razlika_u_sigma,Sva_cetiri_Y_u_opsegu,NominalnaGreskaIzImenaFajla,DetektovanaGreskaIzErrKolona,GreskaZaNaslovGrafikaNominalna,ImaErrKolone,ErrKolone,GreskaDetektovanaSigmaMean,GreskaDetektovanaMaxAbs,SveErrKoloneNula
1,S,0.8228563027312489,1.0,1.112445644514944,1.080599593922265,0.825223,1.002876,1.115645,1.083707,0.997132,11.883639,11.061949,10.596252,10.467787,11.883639,11.061949,10.596252,10.467787,0,0,0,0,0.82169,0.465697,0.128465,11.883639,11.061949,10.596252,10.467787,true_plus_err_columns,0.0,0.0,0.0,0.0,0.822856,1.0,1.112445,1.080599,True,0.0,mySynt0.1.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,0.019973302731248865,0.7082229179224475,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.008915644514944088,0.20134698543234164,0.996137,0.054389,0.941748,1.050526,False,0.08446259392226496,1.5529352244436367,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
2,C,0.9330970147599029,1.0,1.0101326295026254,1.0048767546323487,0.930768,0.997505,1.007611,1.002369,1.002501,13.848742,13.163559,12.802613,12.648277,13.848742,13.163559,12.802613,12.648277,0,0,0,0,0.685183,0.360945,0.154336,13.848742,13.163559,12.802613,12.648277,true_plus_err_columns,0.0,0.0,0.0,0.0,0.933097,1.0,1.010132,1.004877,True,0.0,mySynt0.1.csv,0.96391,0.017529,0.946381,0.9814390000000001,False,-0.030812985240097124,-1.7578290398823164,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,0.004699629502625369,0.2500068891704101,0.996708,0.02437,0.972338,1.021078,True,0.008168754632348674,0.33519715356375357,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
3,C,0.9568080047280972,1.0,0.9772435214573225,0.9764787574911724,0.971934,1.015809,0.992692,0.991916,0.984437,11.116063,10.458125,10.133118,9.973968,11.116063,10.458125,10.133118,9.973968,0,0,0,0,0.657938,0.325006,0.159151,11.116063,10.458125,10.133118,9.973968,true_plus_err_columns,0.0,0.0,0.0,0.0,0.956808,1.0,0.977243,0.976479,True,0.0,mySynt0.1.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.007101995271902806,-0.40515689839139746,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,False,-0.028189478542677504,-1.4995998799168797,0.996708,0.02437,0.972338,1.021078,True,-0.020229242508827627,-0.8300879158320734,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
4,B,0.955965897904745,1.0,0.9059737198372697,0.9069689097314233,0.9662,1.010706,0.915673,0.916679,0.989408,13.149257,12.490363,12.247574,12.086382,13.149257,12.490363,12.247574,12.086382,0,0,0,0,0.658894,0.242789,0.161192,13.149257,12.490363,12.247574,12.086382,true_plus_err_columns,0.0,0.0,0.0,0.0,0.955966,1.0,0.905974,0.906969,True,0.0,mySynt0.1.csv,0.978672,0.012877,0.965795,0.991549,False,-0.022706102095255032,-1.7633068335213973,1.0,0.020132,0.979868,1.020132,True,0.0,0.0,0.980226,0.044411,0.9358150000000001,1.024637,False,-0.07425228016273033,-1.6719344343232607,0.938247,0.069068,0.869179,1.007315,True,-0.03127809026857675,-0.4528593598855729,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
5,X,0.9365444617340812,1.0,1.0742515772469179,1.1221218007798488,0.938958,1.002577,1.07702,1.125014,0.997429,11.238795,10.557616,10.129851,9.922516,11.238795,10.557616,10.129851,9.922516,0,0,0,0,0.681179,0.427765,0.207336,11.238795,10.557616,10.129851,9.922516,true_plus_err_columns,0.0,0.0,0.0,0.0,0.936544,1.0,1.074251,1.122122,True,0.0,mySynt0.1.csv,0.943734,0.020913,0.922821,0.9646469999999999,True,-0.007189538265918727,-0.34378320976993865,1.0,0.006827,0.993173,1.006827,True,0.0,0.0,1.050969,0.016362,1.034607,1.067331,False,0.023282577246917846,1.4229664617355973,1.09056,0.031115,1.059445,1.121675,False,0.031561800779848825,1.014359658680663,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
6,S,0.8211483035684932,1.0,1.1454264300869046,1.006772165531719,0.771848,0.939961,1.076657,0.946327,1.063874,13.699958,12.876012,12.378594,12.358684,13.699958,12.876012,12.378594,12.358684,0,0,0,0,0.823945,0.497418,0.01991,13.699958,12.876012,12.378594,12.358684,true_plus_err_columns,0.0,0.0,0.0,0.0,0.821149,1.0,1.145427,1.006772,True,0.0,mySynt0.1.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,0.018265303568493207,0.6476598669772784,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.04189643008690469,0.9461705078343426,0.996137,0.054389,0.941748,1.050526,True,0.010635165531718949,0.19553890550881517,True,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
7,S,0.785913592445469,1.0,1.075618838756304,0.9869537465589033,0.761634,0.969106,1.042389,0.956463,1.031879,13.561177,12.689614,12.260468,12.193872,13.561177,12.689614,12.260468,12.193872,0,0,0,0,0.871563,0.429146,0.066596,13.561177,12.689614,12.260468,12.193872,true_plus_err_columns,0.0,0.0,0.0,0.0,0.785914,1.0,1.075619,0.986954,True,0.0,mySynt0.1.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,-0.016969407554531024,-0.6017093665176592,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,-0.02791116124369597,-0.6303333614204149,0.996137,0.054389,0.941748,1.050526,True,-0.009183253441096717,-0.16884394714182493,True,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
8,C,0.9604377020936709,1.0,1.0046333708536264,1.0051664859350278,0.96749,1.007342,1.01201,1.012547,0.992711,13.132319,12.478492,12.123473,11.962897,13.132319,12.478492,12.123473,11.962897,0,0,0,0,0.653827,0.355019,0.160576,13.132319,12.478492,12.123473,11.962897,true_plus_err_columns,0.0,0.0,0.0,0.0,0.960438,1.0,1.004634,1.005167,True,0.0,mySynt0.1.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.0034722979063291914,-0.19808876184204413,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,-0.0007996291463736593,-0.04253799055078516,0.996708,0.02437,0.972338,1.021078,True,0.008458485935027737,0.3470860047200549,True,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
9,S,0.7721946706717989,1.0,1.094210303644694,1.0207354546543035,0.784971,1.016545,1.112314,1.037623,0.983725,14.222868,13.332185,12.884433,12.799902,14.222868,13.332185,12.884433,12.799902,0,0,0,0,0.890683,0.447752,0.084531,14.222868,13.332185,12.884433,12.799902,true_plus_err_columns,0.0,0.0,0.0,0.0,0.772195,1.0,1.09421,1.020735,True,0.0,mySynt0.1.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.03068832932820109,-1.0881614540884013,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,-0.00931969635530594,-0.21047191407646657,0.996137,0.054389,0.941748,1.050526,True,0.024598454654303437,0.4522689267003151,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
10,L,0.7667645043881197,1.0,1.1602532670967423,1.1033416178541113,0.783242,1.021489,1.185186,1.127051,0.978963,13.734162,12.835817,12.324435,12.219042,13.734162,12.835817,12.324435,12.219042,0,0,0,0,0.898345,0.511382,0.105393,13.734162,12.835817,12.324435,12.219042,true_plus_err_columns,0.0,0.0,0.0,0.0,0.766765,1.0,1.160254,1.103342,True,0.0,mySynt0.1.csv,0.804077,0.037198,0.7668790000000001,0.841275,False,-0.037312495611880325,-1.0030780045131547,1.0,0.027963,0.972037,1.027963,True,0.0,0.0,1.107657,0.054527,1.05313,1.1621839999999999,True,0.052596267096742366,0.9645912501465763,1.106185,0.041263,1.064922,1.147448,True,-0.00284338214588864,-0.06890875956398322,False,0.1,0.0,0.1,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
