Index,OrigKlasa,Yg,Yr,Yi,Yz,Yg_raw_before_second_norm,Yr_raw_before_second_norm,Yi_raw_before_second_norm,Yz_raw_before_second_norm,second_norm_scale,mg,mr,mi,mz,mg_true,mr_true,mi_true,mz_true,err_mg,err_mr,err_mi,err_mz,true_g_minus_r,true_r_minus_i,true_i_minus_z,mg_used_for_Y,mr_used_for_Y,mi_used_for_Y,mz_used_for_Y,Ver09_Y_source,delta_mg_used_minus_mg,delta_mr_used_minus_mr,delta_mi_used_minus_mi,delta_mz_used_minus_mz,Yg_generator_original,Yr_generator_original,Yi_generator_original,Yz_generator_original,Ver09_Y_iz_true_plus_err_ili_magnituda,Greska,Fajl,Yg_mean,Yg_sigma,Yg_min,Yg_max,Yg_u_opsegu,Yg_razlika_od_mean,Yg_razlika_u_sigma,Yr_mean,Yr_sigma,Yr_min,Yr_max,Yr_u_opsegu,Yr_razlika_od_mean,Yr_razlika_u_sigma,Yi_mean,Yi_sigma,Yi_min,Yi_max,Yi_u_opsegu,Yi_razlika_od_mean,Yi_razlika_u_sigma,Yz_mean,Yz_sigma,Yz_min,Yz_max,Yz_u_opsegu,Yz_razlika_od_mean,Yz_razlika_u_sigma,Sva_cetiri_Y_u_opsegu,NominalnaGreskaIzImenaFajla,DetektovanaGreskaIzErrKolona,GreskaZaNaslovGrafikaNominalna,ImaErrKolone,ErrKolone,GreskaDetektovanaSigmaMean,GreskaDetektovanaMaxAbs,SveErrKoloneNula
1,S,0.9466355282999601,1.0,1.3540789912682551,1.047278047082189,0.801945,0.998109,1.104425,0.996681,1.001894,13.390001,12.720459,12.041349,12.160304,13.537757,12.690173,12.230278,12.181728,-0.147755,0.030286,-0.188929,-0.021424,0.847584,0.459895,0.04855,13.390001999999999,12.720459,12.041349,12.160304,true_plus_err_columns,9.999999992515995e-07,0.0,0.0,0.0,0.803464,1.0,1.106517,0.998569,True,0.11589271460988873,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,0.1437525282999601,5.0972458797234275,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,0.25054899126825525,5.658287969021122,0.996137,0.054389,0.941748,1.050526,True,0.05114104708218892,0.9402829079811895,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
2,C,0.9682742890003694,1.0,1.3513878189756185,1.3768048906130939,0.962895,1.000246,1.006744,0.99675,0.999754,12.729254,12.08425,11.4073,11.227069,12.544996,11.893677,11.536646,11.387479,0.184258,0.190573,-0.129346,-0.16041,0.65132,0.35703,0.149168,12.729254,12.08425,11.4073,11.227069,true_plus_err_columns,0.0,0.0,0.0,0.0,0.962658,1.0,1.006496,0.996504,True,0.11589271460988873,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,0.004364289000369337,0.2489753551468616,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,False,0.3459548189756185,18.40380992529091,0.996708,0.02437,0.972338,1.021078,False,0.3800968906130938,15.59691795704119,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
3,S,0.7094699411862517,1.0,0.8823449410621788,0.9470209792783469,0.802655,1.000377,1.105122,0.997244,0.999623,11.425604,10.442939,10.228843,9.992039,11.406704,10.557616,10.0995,10.051022,0.0189,-0.114677,0.129343,-0.058982,0.849088,0.458116,0.048478,11.425604,10.442938999999999,10.228843000000001,9.99204,true_plus_err_columns,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,9.999999992515995e-07,0.802352,1.0,1.104705,0.996868,True,0.11589271460988873,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.09341305881374828,-3.3122849022675087,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,-0.22118505893782114,-4.995145865804452,0.996137,0.054389,0.941748,1.050526,True,-0.04911602072165311,-0.9030506301210375,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
4,S,0.6839765306672858,1.0,0.8675545662958788,0.7837414210267407,0.803759,1.000664,1.102311,0.996984,0.999336,11.832621,10.810224,10.614482,10.564792,11.845704,10.997797,10.542758,10.491797,-0.013083,-0.187573,0.071724,0.072995,0.847906,0.455039,0.050961,11.832621,10.810224,10.614481999999999,10.564792,true_plus_err_columns,0.0,0.0,-1.7763568394002505e-15,0.0,0.803225,1.0,1.101579,0.996323,True,0.11589271460988873,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.1189064693327142,-4.21624244141246,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,-0.2359754337041211,-5.329165169469763,0.996137,0.054389,0.941748,1.050526,False,-0.21239557897325934,-3.905120134094382,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
5,S,0.7409348118189625,1.0,1.3155798105710903,0.9536670990708307,0.802933,1.000459,1.103282,0.997536,0.999541,12.335729,11.400178,10.752385,10.941686,12.213653,11.364853,10.908636,10.85803,0.122075,0.035325,-0.156251,0.083656,0.8488,0.456218,0.050606,12.335728000000001,11.400178,10.752385,10.941685999999999,true_plus_err_columns,-9.999999992515995e-07,0.0,0.0,-1.7763568394002505e-15,0.802565,1.0,1.102776,0.997079,True,0.11589271460988873,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.06194818818103753,-2.19658847532223,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,0.2120498105710904,4.788839443791563,0.996137,0.054389,0.941748,1.050526,True,-0.04246990092916936,-0.7808546016505058,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
6,C,0.9812010403289833,1.0,0.7902250634192138,0.9287302685258632,0.962811,1.000768,1.006855,0.997214,0.999232,13.377091,12.746487,12.65211,12.316762,13.487799,12.835817,12.479234,12.329681,-0.110707,-0.08933,0.172876,-0.012918,0.651981,0.356583,0.149553,13.377092000000001,12.746487,12.65211,12.316763,true_plus_err_columns,1.0000000010279564e-06,0.0,0.0,9.999999992515995e-07,0.962072,1.0,1.006082,0.996448,True,0.11589271460988873,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,0.01729104032898321,0.9864248005581157,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,False,-0.21520793658078619,-11.448448589253442,0.996708,0.02437,0.972338,1.021078,False,-0.06797773147413688,-2.7894021942608487,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
7,X,0.7134684941680891,1.0,0.9276710420930655,0.8630389571600371,0.943851,0.999288,1.051822,1.090734,1.000712,12.769241,11.792678,11.524192,11.442602,12.595388,11.92342,11.517792,11.31835,0.173853,-0.130742,0.006401,0.124252,0.671968,0.405629,0.199442,12.769241,11.792678,11.524193,11.442602,true_plus_err_columns,0.0,0.0,1.0000000010279564e-06,0.0,0.944524,1.0,1.052571,1.091511,True,0.11589271460988873,mySynt0.2.csv,0.943734,0.020913,0.922821,0.9646469999999999,False,-0.23026550583191085,-11.010639594123791,1.0,0.006827,0.993173,1.006827,True,0.0,0.0,1.050969,0.016362,1.034607,1.067331,False,-0.12329795790693454,-7.535628768300607,1.09056,0.031115,1.059445,1.121675,False,-0.22752104283996288,-7.312262344205781,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
8,X,0.7756553636845642,1.0,1.0434306748633755,1.051969624993311,0.942902,1.000952,1.050402,1.09049,0.999049,13.439244,12.553416,12.157257,11.988408,13.424169,12.749303,12.346947,12.146282,0.015075,-0.195887,-0.18969,-0.157874,0.674867,0.402356,0.200665,13.439243999999999,12.553415999999999,12.157257,11.988408,true_plus_err_columns,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.942005,1.0,1.049403,1.089452,True,0.11589271460988873,mySynt0.2.csv,0.943734,0.020913,0.922821,0.9646469999999999,False,-0.16807863631543574,-8.037040898744117,1.0,0.006827,0.993173,1.006827,True,0.0,0.0,1.050969,0.016362,1.034607,1.067331,True,-0.007538325136624557,-0.4607214971656617,1.09056,0.031115,1.059445,1.121675,False,-0.03859037500668894,-1.2402498796943255,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
9,K,0.6548623164427927,1.0,0.8049527714597304,0.8186917236025022,0.856726,1.003402,1.071079,1.019972,0.99661,13.360541,12.290917,12.176492,11.998116,13.242571,12.460988,12.040121,11.933205,0.117971,-0.170071,0.13637,0.064911,0.781582,0.420867,0.106917,13.360542,12.290917,12.176490999999999,11.998116,true_plus_err_columns,1.0000000010279564e-06,0.0,-1.0000000010279564e-06,0.0,0.853821,1.0,1.067448,1.016514,True,0.11589271460988873,mySynt0.2.csv,0.856062,0.02206,0.834002,0.878122,False,-0.2011996835572073,-9.120565891079206,1.0,0.020017,0.979983,1.020017,True,0.0,0.0,1.071515,0.03886,1.032655,1.110375,False,-0.26656222854026956,-6.859552973244199,1.019998,0.041225,0.978773,1.061223,False,-0.20130627639749776,-4.88311161667672,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
10,S,0.7013474139948754,1.0,1.1792361928843467,1.1835646896937648,0.803264,1.001227,1.1035,0.99809,0.998775,12.673576,11.678409,11.149407,10.985429,12.490309,11.641124,11.185524,11.134531,0.183267,0.037285,-0.036117,-0.149102,0.849185,0.4556,0.050993,12.673576,11.678409,11.149406999999998,10.985429000000002,true_plus_err_columns,0.0,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.80228,1.0,1.102148,0.996867,True,0.11589271460988873,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,False,-0.10153558600512458,-3.600297354979242,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,False,0.07570619288434677,1.7097152864576957,0.996137,0.054389,0.941748,1.050526,False,0.18742768969376478,3.446058756251536,False,0.2,0.11589271460988873,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.11589271460988873,0.199988,False
