Index,OrigKlasa,Yg,Yr,Yi,Yz,Yg_raw_before_second_norm,Yr_raw_before_second_norm,Yi_raw_before_second_norm,Yz_raw_before_second_norm,second_norm_scale,mg,mr,mi,mz,mg_true,mr_true,mi_true,mz_true,err_mg,err_mr,err_mi,err_mz,true_g_minus_r,true_r_minus_i,true_i_minus_z,mg_used_for_Y,mr_used_for_Y,mi_used_for_Y,mz_used_for_Y,Ver09_Y_source,delta_mg_used_minus_mg,delta_mr_used_minus_mr,delta_mi_used_minus_mi,delta_mz_used_minus_mz,Yg_generator_original,Yr_generator_original,Yi_generator_original,Yz_generator_original,Ver09_Y_iz_true_plus_err_ili_magnituda,Greska,Fajl,Yg_mean,Yg_sigma,Yg_min,Yg_max,Yg_u_opsegu,Yg_razlika_od_mean,Yg_razlika_u_sigma,Yr_mean,Yr_sigma,Yr_min,Yr_max,Yr_u_opsegu,Yr_razlika_od_mean,Yr_razlika_u_sigma,Yi_mean,Yi_sigma,Yi_min,Yi_max,Yi_u_opsegu,Yi_razlika_od_mean,Yi_razlika_u_sigma,Yz_mean,Yz_sigma,Yz_min,Yz_max,Yz_u_opsegu,Yz_razlika_od_mean,Yz_razlika_u_sigma,Sva_cetiri_Y_u_opsegu,NominalnaGreskaIzImenaFajla,DetektovanaGreskaIzErrKolona,GreskaZaNaslovGrafikaNominalna,ImaErrKolone,ErrKolone,GreskaDetektovanaSigmaMean,GreskaDetektovanaMaxAbs,SveErrKoloneNula
1,S,0.8034639582980629,1.0,1.1065167691443765,0.9985688171924785,0.801945,0.998109,1.104425,0.996681,1.001894,13.537757,12.690173,12.230278,12.181728,13.537757,12.690173,12.230278,12.181728,0,0,0,0,0.847584,0.459895,0.04855,13.537757,12.690173,12.230278,12.181728,true_plus_err_columns,0.0,0.0,0.0,0.0,0.803464,1.0,1.106517,0.998569,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,0.000580958298062928,0.02059989710172782,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.0029867691443765665,0.06745187769594775,0.996137,0.054389,0.941748,1.050526,True,0.002431817192478425,0.04471156286157908,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
2,C,0.9626588327622672,1.0,1.0064968035803197,0.9965043526416483,0.962895,1.000246,1.006744,0.99675,0.999754,12.544996,11.893677,11.536646,11.387479,12.544996,11.893677,11.536646,11.387479,0,0,0,0,0.65132,0.35703,0.149168,12.544996,11.893677,11.536646,11.387479,true_plus_err_columns,0.0,0.0,0.0,0.0,0.962658,1.0,1.006496,0.996504,True,0.0,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.0012511672377328864,-0.07137698886033923,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,0.0010638035803196555,0.05659131717840491,0.996708,0.02437,0.972338,1.021078,True,-0.00020364735835176617,-0.008356477568804522,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
3,S,0.8023517422658133,1.0,1.1047052043308063,0.9968678734440864,0.802655,1.000377,1.105122,0.997244,0.999623,11.406704,10.557616,10.0995,10.051022,11.406704,10.557616,10.0995,10.051022,0,0,0,0,0.849088,0.458116,0.048478,11.406704,10.557616,10.0995,10.051022,true_plus_err_columns,0.0,0.0,0.0,0.0,0.802352,1.0,1.104705,0.996868,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,-0.0005312577341867186,-0.01883759074486627,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.001175204330806423,0.026540296540343792,0.996137,0.054389,0.941748,1.050526,True,0.0007308734440863995,0.013437890825100655,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
4,S,0.8032249681468919,1.0,1.1015788779047646,0.9963226419544179,0.803759,1.000664,1.102311,0.996984,0.999336,11.845704,10.997797,10.542758,10.491797,11.845704,10.997797,10.542758,10.491797,0,0,0,0,0.847906,0.455039,0.050961,11.845704,10.997797,10.542758,10.491797,true_plus_err_columns,0.0,0.0,0.0,0.0,0.803225,1.0,1.101579,0.996323,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,0.00034196814689191335,0.012125670055028485,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,-0.0019511220952352915,-0.04406328128354317,0.996137,0.054389,0.941748,1.050526,True,0.0001856419544178367,0.003413226101193931,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
5,S,0.8025646005558822,1.0,1.10277471546958,0.9970781517953508,0.802933,1.000459,1.103282,0.997536,0.999541,12.213653,11.364853,10.908636,10.85803,12.213653,11.364853,10.908636,10.85803,0,0,0,0,0.8488,0.456218,0.050606,12.213653,11.364853,10.908636,10.85803,true_plus_err_columns,0.0,0.0,0.0,0.0,0.802565,1.0,1.102776,0.997079,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,-0.00031839944411782284,-0.011289959723346671,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,-0.0007552845304199529,-0.017057012882112758,0.996137,0.054389,0.941748,1.050526,True,0.0009411517953507031,0.01730408346082302,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
6,C,0.9620711688592715,1.0,1.006081585269711,0.9964474497718839,0.962811,1.000768,1.006855,0.997214,0.999232,13.487799,12.835817,12.479234,12.329681,13.487799,12.835817,12.479234,12.329681,0,0,0,0,0.651981,0.356583,0.149553,13.487799,12.835817,12.479234,12.329681,true_plus_err_columns,0.0,0.0,0.0,0.0,0.962072,1.0,1.006082,0.996448,True,0.0,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.0018388311407285807,-0.10490222720797425,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,0.0006485852697108996,0.03450288699387699,0.996708,0.02437,0.972338,1.021078,True,-0.0002605502281161076,-0.010691433242351564,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
7,X,0.9445235701248992,1.0,1.052570514438314,1.0915107064761542,0.943851,0.999288,1.051822,1.090734,1.000712,12.595388,11.92342,11.517792,11.31835,12.595388,11.92342,11.517792,11.31835,0,0,0,0,0.671968,0.405629,0.199442,12.595388,11.92342,11.517792,11.31835,true_plus_err_columns,0.0,0.0,0.0,0.0,0.944524,1.0,1.052571,1.091511,True,0.0,mySynt0.2.csv,0.943734,0.020913,0.922821,0.9646469999999999,True,0.0007895701248992193,0.03775499090992298,1.0,0.006827,0.993173,1.006827,True,0.0,0.0,1.050969,0.016362,1.034607,1.067331,True,0.0016015144383139113,0.09788011479732986,1.09056,0.031115,1.059445,1.121675,True,0.0009507064761542505,0.030554603122424893,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
8,X,0.9420058503552434,1.0,1.0494032382236234,1.0894527513397352,0.942902,1.000952,1.050402,1.09049,0.999049,13.424169,12.749303,12.346947,12.146282,13.424169,12.749303,12.346947,12.146282,0,0,0,0,0.674867,0.402356,0.200665,13.424169,12.749303,12.346947,12.146282,true_plus_err_columns,0.0,0.0,0.0,0.0,0.942005,1.0,1.049403,1.089452,True,0.0,mySynt0.2.csv,0.943734,0.020913,0.922821,0.9646469999999999,True,-0.001728149644756538,-0.08263518599706106,1.0,0.006827,0.993173,1.006827,True,0.0,0.0,1.050969,0.016362,1.034607,1.067331,True,-0.001565761776376684,-0.09569501139082531,1.09056,0.031115,1.059445,1.121675,True,-0.0011072486602647924,-0.035585687297598985,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
9,K,0.8538209366739495,1.0,1.0674481773284274,1.016513615292659,0.856726,1.003402,1.071079,1.019972,0.99661,13.242571,12.460988,12.040121,11.933205,13.242571,12.460988,12.040121,11.933205,0,0,0,0,0.781582,0.420867,0.106917,13.242571,12.460988,12.040121,11.933205,true_plus_err_columns,0.0,0.0,0.0,0.0,0.853821,1.0,1.067448,1.016514,True,0.0,mySynt0.2.csv,0.856062,0.02206,0.834002,0.878122,True,-0.002241063326050452,-0.10158945267681106,1.0,0.020017,0.979983,1.020017,True,0.0,0.0,1.071515,0.03886,1.032655,1.110375,True,-0.004066822671572545,-0.10465318249028681,1.019998,0.041225,0.978773,1.061223,True,-0.003484384707340915,-0.08452115724295732,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
10,S,0.8022800631211291,1.0,1.102148210890019,0.9968669552952664,0.803264,1.001227,1.1035,0.99809,0.998775,12.490309,11.641124,11.185524,11.134531,12.490309,11.641124,11.185524,11.134531,0,0,0,0,0.849185,0.4556,0.050993,12.490309,11.641124,11.185524,11.134531,true_plus_err_columns,0.0,0.0,0.0,0.0,0.80228,1.0,1.102148,0.996867,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,-0.0006029368788709188,-0.021379224128463187,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,-0.001381789109980991,-0.031205716124231953,0.996137,0.054389,0.941748,1.050526,True,0.0007299552952663158,0.013421009675969695,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
11,B,0.9787333792855809,1.0,0.9795865195322462,0.9390389358221148,0.978364,0.999623,0.979217,0.938685,1.000377,14.590626,13.957287,13.62968,13.515578,14.590626,13.957287,13.62968,13.515578,0,0,0,0,0.63334,0.327607,0.114102,14.590626,13.957287,13.62968,13.515578,true_plus_err_columns,0.0,0.0,0.0,0.0,0.978733,1.0,0.979586,0.939039,True,0.0,mySynt0.2.csv,0.978672,0.012877,0.965795,0.991549,True,6.137928558092032e-05,0.004766582711883228,1.0,0.020132,0.979868,1.020132,True,0.0,0.0,0.980226,0.044411,0.9358150000000001,1.024637,True,-0.0006394804677538612,-0.014399145881737886,0.938247,0.069068,0.869179,1.007315,True,0.0007919358221147865,0.011466030898748864,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
12,C,0.9632672610575649,1.0,1.007225703387849,0.9966888504187862,0.962855,0.999572,1.006795,0.996262,1.000428,12.286382,11.635749,11.277932,11.12935,12.286382,11.635749,11.277932,11.12935,0,0,0,0,0.650633,0.357817,0.148581,12.286382,11.635749,11.277932,11.12935,true_plus_err_columns,0.0,0.0,0.0,0.0,0.963267,1.0,1.007226,0.996688,True,0.0,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.0006427389424351615,-0.03666717681756869,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,0.0017927033878488707,0.09536670857798014,0.996708,0.02437,0.972338,1.021078,True,-1.9149581213850908e-05,-0.0007857850313439027,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
13,S,0.8026510903656698,1.0,1.1051875909196125,0.9950754232457261,0.802794,1.000177,1.105384,0.995252,0.999823,13.269521,12.420838,11.962248,11.916198,13.269521,12.420838,11.962248,11.916198,0,0,0,0,0.848682,0.45859,0.04605,13.269521,12.420838,11.962248,11.916198,true_plus_err_columns,0.0,0.0,0.0,0.0,0.802652,1.0,1.105188,0.995076,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,-0.00023190963433017409,-0.008223162695205094,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.0016575909196125949,0.037434302610943875,0.996137,0.054389,0.941748,1.050526,True,-0.0010615767542739851,-0.019518225271175884,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
14,C,0.9630241983988921,1.0,1.0046046869157095,0.9952330734462153,0.964501,1.001534,1.006145,0.99676,0.998469,12.129257,11.47835,11.123362,10.973538,12.129257,11.47835,11.123362,10.973538,0,0,0,0,0.650907,0.354988,0.149825,12.129257,11.47835,11.123362,10.973538,true_plus_err_columns,0.0,0.0,0.0,0.0,0.963025,1.0,1.004605,0.995234,True,0.0,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.0008858016011079606,-0.05053349313183642,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,-0.000828313084290544,-0.04406389425952463,0.996708,0.02437,0.972338,1.021078,True,-0.0014749265537847833,-0.060522222149560254,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
15,C,0.963041051129592,1.0,1.004133832262868,0.9948399110484337,0.964206,1.001209,1.005349,0.996043,0.998792,11.416465,10.765577,10.411098,10.261194,11.416465,10.765577,10.411098,10.261194,0,0,0,0,0.650888,0.35448,0.149904,11.416465,10.765577,10.411098,10.261194,true_plus_err_columns,0.0,0.0,0.0,0.0,0.963041,1.0,1.004134,0.99484,True,0.0,mySynt0.2.csv,0.96391,0.017529,0.946381,0.9814390000000001,True,-0.000868948870408004,-0.04957207315922209,1.0,0.011501,0.988499,1.011501,True,0.0,0.0,1.005433,0.018798,0.986635,1.0242310000000001,True,-0.001299167737132123,-0.06911201921119924,0.996708,0.02437,0.972338,1.021078,True,-0.0018680889515663157,-0.07665527088905687,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
16,S,0.8039377092114576,1.0,1.1054380264753076,0.9969229639208016,0.803375,0.9993,1.104663,0.996225,1.000701,13.546769,12.699825,12.240989,12.193171,13.546769,12.699825,12.240989,12.193171,0,0,0,0,0.846944,0.458835,0.047819,13.546769,12.699825,12.240989,12.193171,true_plus_err_columns,0.0,0.0,0.0,0.0,0.803938,1.0,1.105438,0.996923,True,0.0,mySynt0.2.csv,0.802883,0.028202,0.7746810000000001,0.831085,True,0.0010547092114575607,0.037398383499665296,1.0,0.022916,0.977084,1.022916,True,0.0,0.0,1.10353,0.04428,1.0592499999999998,1.14781,True,0.0019080264753077447,0.04309002880098791,0.996137,0.054389,0.941748,1.050526,True,0.0007859639208015468,0.014450788225588755,True,0.2,0.0,0.2,True,"err_mg,err_mr,err_mi,err_mz",0.0,0.0,True
